Job,Create,Start,Offset,Sleep,Real Start,Real Wait
b01,2023-10-06 23:55:03,2023-10-06 23:55:03,0 days 00:00:00,0,2023-10-06 23:55:03,0.0
a04,2023-10-06 23:56:08,2023-10-06 23:56:08,0 days 00:01:05,65,2023-10-06 23:56:08,0.0
c04,2023-10-06 23:57:03,2023-10-06 23:57:03,0 days 00:02:00,55,2023-10-06 23:57:03,0.0
b03,2023-10-06 23:58:13,2023-10-06 23:58:13,0 days 00:03:10,70,2023-10-06 23:58:13,0.0
b05,2023-10-06 23:59:32,2023-10-06 23:59:32,0 days 00:04:29,79,2023-10-06 23:59:32,0.0
d01,2023-10-07 00:00:37,2023-10-07 00:02:34,0 days 00:05:34,65,2023-10-07 00:00:37,117.0
b04,2023-10-07 00:02:35,2023-10-07 00:02:35,0 days 00:06:33,59,2023-10-07 00:01:36,59.0
d04,2023-10-07 00:02:36,2023-10-07 00:09:13,0 days 00:07:26,53,2023-10-07 00:02:29,404.0
a01,2023-10-07 00:09:14,2023-10-07 00:09:14,0 days 00:08:25,59,2023-10-07 00:03:28,346.0
d05,2023-10-07 00:09:14,2023-10-07 00:14:31,0 days 00:09:31,66,2023-10-07 00:04:34,597.0
a02,2023-10-07 00:14:31,2023-10-07 00:14:31,0 days 00:10:32,61,2023-10-07 00:05:35,536.0
d02,2023-10-07 00:14:32,2023-10-07 00:19:47,0 days 00:11:28,56,2023-10-07 00:06:31,796.0
a05,2023-10-07 00:19:49,2023-10-07 00:19:50,0 days 00:12:26,58,2023-10-07 00:07:29,741.0
b02,2023-10-07 00:19:51,2023-10-07 00:19:51,0 days 00:13:17,51,2023-10-07 00:08:20,691.0
c01,2023-10-07 00:19:52,2023-10-07 00:19:52,0 days 00:14:22,65,2023-10-07 00:09:25,627.0
c03,2023-10-07 00:19:52,2023-10-07 00:25:06,0 days 00:15:26,64,2023-10-07 00:10:29,877.0
c05,2023-10-07 00:25:06,2023-10-07 00:25:06,0 days 00:16:18,52,2023-10-07 00:11:21,825.0
d03,2023-10-07 00:25:06,2023-10-07 00:25:11,0 days 00:17:10,52,2023-10-07 00:12:13,778.0
c02,2023-10-07 00:25:11,2023-10-07 00:30:23,0 days 00:18:15,65,2023-10-07 00:13:18,1025.0
a03,2023-10-07 00:30:24,2023-10-07 00:30:24,0 days 00:19:33,78,2023-10-07 00:14:36,948.0
