,Job,Create,Start,Wait
0,a01,2023-10-06 06:25:41,2023-10-06 06:25:41,0.0
1,a02,2023-10-06 06:30:58,2023-10-06 06:31:00,2.0
2,a03,2023-10-06 06:46:53,2023-10-06 06:46:53,0.0
3,a04,2023-10-06 06:12:55,2023-10-06 06:12:55,0.0
4,a05,2023-10-06 06:36:16,2023-10-06 06:36:16,0.0
5,b01,2023-10-06 06:11:50,2023-10-06 06:11:50,0.0
6,b02,2023-10-06 06:36:17,2023-10-06 06:36:17,0.0
7,b03,2023-10-06 06:15:00,2023-10-06 06:15:00,0.0
8,b04,2023-10-06 06:19:15,2023-10-06 06:19:15,0.0
9,b05,2023-10-06 06:16:19,2023-10-06 06:16:19,0.0
10,c01,2023-10-06 06:36:17,2023-10-06 06:36:17,0.0
11,c02,2023-10-06 06:41:37,2023-10-06 06:46:53,316.0
12,c03,2023-10-06 06:36:17,2023-10-06 06:41:33,316.0
13,c04,2023-10-06 06:13:50,2023-10-06 06:13:50,0.0
14,c05,2023-10-06 06:41:34,2023-10-06 06:41:34,0.0
15,d01,2023-10-06 06:17:24,2023-10-06 06:19:14,110.0
16,d02,2023-10-06 06:31:01,2023-10-06 06:36:15,314.0
17,d03,2023-10-06 06:41:34,2023-10-06 06:41:37,3.0
18,d04,2023-10-06 06:19:16,2023-10-06 06:25:40,384.0
19,d05,2023-10-06 06:25:41,2023-10-06 06:30:57,316.0
