Job,Create,Start,Offset,Sleep,Real Start,Real Wait
b01,2023-10-06 07:09:58,2023-10-06 07:09:58,0 days 00:00:00,0,2023-10-06 07:09:58,0.0
a04,2023-10-06 07:11:03,2023-10-06 07:11:03,0 days 00:01:05,65,2023-10-06 07:11:03,0.0
c04,2023-10-06 07:11:58,2023-10-06 07:11:58,0 days 00:02:00,55,2023-10-06 07:11:58,0.0
b03,2023-10-06 07:13:09,2023-10-06 07:13:09,0 days 00:03:10,70,2023-10-06 07:13:08,1.0
b05,2023-10-06 07:14:28,2023-10-06 07:14:28,0 days 00:04:29,79,2023-10-06 07:14:27,1.0
d01,2023-10-06 07:15:33,2023-10-06 07:18:16,0 days 00:05:34,65,2023-10-06 07:15:32,164.0
b04,2023-10-06 07:18:16,2023-10-06 07:18:16,0 days 00:06:33,59,2023-10-06 07:16:31,105.0
d04,2023-10-06 07:18:17,2023-10-06 07:23:30,0 days 00:07:26,53,2023-10-06 07:17:24,366.0
a01,2023-10-06 07:23:31,2023-10-06 07:23:35,0 days 00:08:25,59,2023-10-06 07:18:23,312.0
d05,2023-10-06 07:23:36,2023-10-06 07:28:49,0 days 00:09:31,66,2023-10-06 07:19:29,560.0
a02,2023-10-06 07:28:49,2023-10-06 07:28:49,0 days 00:10:32,61,2023-10-06 07:20:30,499.0
d02,2023-10-06 07:28:49,2023-10-06 07:34:05,0 days 00:11:28,56,2023-10-06 07:21:26,759.0
a05,2023-10-06 07:34:06,2023-10-06 07:34:07,0 days 00:12:26,58,2023-10-06 07:22:24,703.0
b02,2023-10-06 07:34:08,2023-10-06 07:34:08,0 days 00:13:17,51,2023-10-06 07:23:15,653.0
c01,2023-10-06 07:34:09,2023-10-06 07:34:09,0 days 00:14:22,65,2023-10-06 07:24:20,589.0
c03,2023-10-06 07:34:09,2023-10-06 07:39:24,0 days 00:15:26,64,2023-10-06 07:25:24,840.0
c05,2023-10-06 07:39:25,2023-10-06 07:39:25,0 days 00:16:18,52,2023-10-06 07:26:16,789.0
d03,2023-10-06 07:39:25,2023-10-06 07:39:27,0 days 00:17:10,52,2023-10-06 07:27:08,739.0
c02,2023-10-06 07:39:28,2023-10-06 07:44:41,0 days 00:18:15,65,2023-10-06 07:28:13,988.0
a03,2023-10-06 07:44:42,2023-10-06 07:44:42,0 days 00:19:33,78,2023-10-06 07:29:31,911.0
