Job,Create,Start,Offset,Sleep,Real Start,Real Wait
a02,2023-10-06 11:40:00,2023-10-06 11:40:00,0 days 00:00:00,0,2023-10-06 11:40:00,0.0
b04,2023-10-06 11:41:10,2023-10-06 11:41:10,0 days 00:01:10,70,2023-10-06 11:41:10,0.0
c02,2023-10-06 11:42:16,2023-10-06 11:42:16,0 days 00:02:16,66,2023-10-06 11:42:16,0.0
c04,2023-10-06 11:43:10,2023-10-06 11:43:10,0 days 00:03:10,54,2023-10-06 11:43:10,0.0
a01,2023-10-06 11:44:16,2023-10-06 11:44:16,0 days 00:04:15,65,2023-10-06 11:44:15,1.0
c03,2023-10-06 11:45:05,2023-10-06 11:45:55,0 days 00:05:04,49,2023-10-06 11:45:04,51.0
d04,2023-10-06 11:45:56,2023-10-06 11:52:49,0 days 00:05:54,50,2023-10-06 11:45:54,415.0
b02,2023-10-06 11:52:50,2023-10-06 11:52:50,0 days 00:07:06,72,2023-10-06 11:47:06,344.0
e03,2023-10-06 11:52:50,2023-10-06 12:14:11,0 days 00:08:00,54,2023-10-06 11:48:00,1571.0
a04,2023-10-06 12:14:12,2023-10-06 12:19:46,0 days 00:08:59,59,2023-10-06 11:48:59,1847.0
d03,2023-10-06 12:19:46,2023-10-06 12:19:46,0 days 00:09:52,53,2023-10-06 11:49:52,1794.0
e04,2023-10-06 12:19:47,2023-10-06 12:25:16,0 days 00:10:52,60,2023-10-06 11:50:52,2064.0
d01,2023-10-06 12:25:16,2023-10-06 12:30:49,0 days 00:11:59,67,2023-10-06 11:51:59,2330.0
b01,2023-10-06 12:30:50,2023-10-06 12:30:50,0 days 00:13:06,67,2023-10-06 11:53:06,2264.0
d02,2023-10-06 12:30:50,2023-10-06 12:36:18,0 days 00:14:05,59,2023-10-06 11:54:05,2533.0
c01,2023-10-06 12:36:18,2023-10-06 12:36:24,0 days 00:15:20,75,2023-10-06 11:55:20,2464.0
e02,2023-10-06 12:36:25,2023-10-06 12:41:45,0 days 00:16:21,61,2023-10-06 11:56:21,2724.0
b03,2023-10-06 12:41:45,2023-10-06 12:47:19,0 days 00:17:17,56,2023-10-06 11:57:17,3002.0
e01,2023-10-06 12:47:19,2023-10-06 12:52:46,0 days 00:18:14,57,2023-10-06 11:58:14,3272.0
a03,2023-10-06 12:52:47,2023-10-06 12:58:20,0 days 00:18:58,44,2023-10-06 11:58:58,3562.0
