timestamp,event_type,duration
2023/10/14 06:47:57,update GPU availability:,2.797414499s
2023/10/14 06:48:00,update device duration:,2.587086809s
2023/10/14 06:48:05,unassign duration:,5.946854726s
2023/10/14 06:48:18,assign duration:,12.619029963s
2023/10/14 06:48:18,reconfig total time:,24.350046793s
2023/10/14 06:49:01,update GPU availability:,22.161479ms
2023/10/14 06:49:04,update device duration:,3.571440105s
2023/10/14 06:49:13,unassign duration:,8.48758719s
2023/10/14 06:49:26,assign duration:,12.710764191s
2023/10/14 06:49:31,unassign duration:,5.587135609s
2023/10/14 06:49:47,assign duration:,15.973923409s
2023/10/14 06:49:47,reconfig total time:,46.357029575s
2023/10/14 06:50:42,update GPU availability:,24.037418ms
2023/10/14 06:50:46,update device duration:,3.74720655s
2023/10/14 06:50:54,unassign duration:,7.899632273s
2023/10/14 06:51:06,assign duration:,12.373769833s
2023/10/14 06:51:12,unassign duration:,5.448747612s
2023/10/14 06:51:26,assign duration:,14.519321398s
2023/10/14 06:51:26,reconfig total time:,44.017228286s
2023/10/14 06:52:08,update GPU availability:,24.549812ms
2023/10/14 06:52:12,update device duration:,3.581493272s
2023/10/14 06:52:18,unassign duration:,5.887293935s
2023/10/14 06:52:33,assign duration:,14.913063736s
2023/10/14 06:52:42,unassign duration:,9.122541324s
2023/10/14 06:52:55,assign duration:,13.231531251s
2023/10/14 06:53:01,unassign duration:,6.039944911s
2023/10/14 06:53:15,assign duration:,13.417070679s
2023/10/14 06:53:24,unassign duration:,9.802339282s
2023/10/14 06:53:38,assign duration:,13.869357481s
2023/10/14 06:53:48,unassign duration:,9.529613855s
2023/10/14 06:54:01,assign duration:,12.921661015s
2023/10/14 06:54:01,reconfig total time:,1m52.344944951s
2023/10/14 06:59:31,update GPU availability:,21.008205ms
2023/10/14 06:59:32,update device duration:,1.468168881s
2023/10/14 06:59:38,unassign duration:,6.128037577s
2023/10/14 06:59:52,assign duration:,13.926579405s
2023/10/14 06:59:52,reconfig total time:,21.548186021s
2023/10/14 07:00:38,update GPU availability:,23.312671ms
2023/10/14 07:00:41,update device duration:,3.247200672s
2023/10/14 07:00:50,unassign duration:,8.553464314s
2023/10/14 07:01:02,assign duration:,12.579950834s
2023/10/14 07:01:02,reconfig total time:,24.412653327s
2023/10/14 07:01:43,update GPU availability:,27.805865ms
2023/10/14 07:01:46,update device duration:,3.517280673s
2023/10/14 07:01:54,unassign duration:,7.958403675s
2023/10/14 07:02:07,assign duration:,12.55703157s
2023/10/14 07:02:07,reconfig total time:,24.065094587s
2023/10/14 07:02:56,update GPU availability:,23.354911ms
2023/10/14 07:02:58,update device duration:,1.545797537s
2023/10/14 07:03:04,unassign duration:,5.898874887s
2023/10/14 07:03:11,assign duration:,7.377428312s
2023/10/14 07:03:11,reconfig total time:,14.849518581s
2023/10/14 07:04:21,update GPU availability:,25.308445ms
